"Symbol";"Poziom";"Nazwa";
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Kremy cukiernicze;5;Kremy cukiernicze;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Marcepany;5;Marcepany;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Nadzienia;5;Nadzienia;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Stabilizatory;5;Stabilizatory;
B2B\Kategorie\Cukiernicze produkty\Nappage i żele;4;Nappage i żele;
B2B\Kategorie\Cukiernicze produkty\Pomady;4;Pomady;
B2B\Kategorie\Cukiernicze produkty\Zagęstniki;4;Zagęstniki;
B2B\Kategorie\Czekolady, Kakao;3;Czekolady, Kakao;
B2B\Kategorie\Czekolady, Kakao\Czekolady i kuwertury;4;Czekolady i kuwertury;
B2B\Kategorie\Czekolady, Kakao\Czekolady i kuwertury\białe;5;białe;
B2B\Kategorie\Czekolady, Kakao\Czekolady i kuwertury\deserowe;5;deserowe;
B2B\Kategorie\Czekolady, Kakao\Czekolady i kuwertury\do fontann;5;do fontann;
B2B\Kategorie\Czekolady, Kakao\Czekolady i kuwertury\do picia;5;do picia;
B2B\Kategorie\Czekolady, Kakao\Czekolady i kuwertury\mleczne;5;mleczne;
B2B\Kategorie\Czekolady, Kakao\Czekolady i kuwertury\smakowe;5;smakowe;
B2B\Kategorie\Czekolady, Kakao\Kakao i proszki kakaowe;4;Kakao i proszki kakaowe;
B2B\Kategorie\Czekolady, Kakao\Polewy;4;Polewy;
B2B\Kategorie\Czekolady, Kakao\Polewy\białe;5;białe;
B2B\Kategorie\Czekolady, Kakao\Polewy\ciemne;5;ciemne;
B2B\Kategorie\Czekolady, Kakao\Pozostałe;4;Pozostałe;
B2B\Kategorie\Dekorowanie;3;Dekorowanie;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe;4;Dekoracje cukrowe;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Chrzciny;5;Chrzciny;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Dla dzieci;5;Dla dzieci;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Komunia;5;Komunia;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Kwiaty i liście;5;Kwiaty i liście;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Okolicznościowe;5;Okolicznościowe;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Posypki;5;Posypki;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Ślub;5;Ślub;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Święta Bożego Narodzenia;5;Święta Bożego Narodzenia;
B2B\Kategorie\Dekorowanie\Dekoracje cukrowe\Święta Wielkanocne;5;Święta Wielkanocne;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe;4;Dekoracje czekoladowe;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Chrzciny;5;Chrzciny;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Dla dzieci;5;Dla dzieci;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Kwiaty i liście;5;Kwiaty i liście;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Okolicznościowe;5;Okolicznościowe;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Posypki;5;Posypki;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Różne;5;Różne;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Święta Bożego Narodzenia;5;Święta Bożego Narodzenia;
B2B\Kategorie\Dekorowanie\Dekoracje czekoladowe\Święta Wielkanocne;5;Święta Wielkanocne;
B2B\Kategorie\Dekorowanie\Dekoracje marcepanowe;4;Dekoracje marcepanowe;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe;4;Dekoracje opłatkowe;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe\Chrzciny;5;Chrzciny;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe\Dla dzieci;5;Dla dzieci;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe\Komunia;5;Komunia;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe\Kwiaty i liście;5;Kwiaty i liście;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe\Okolicznościowe;5;Okolicznościowe;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe\Posypki;5;Posypki;
B2B\Kategorie\Dekorowanie\Dekoracje opłatkowe\Święta;5;Święta;
B2B\Kategorie\Dekorowanie\Dekoracje plastikowe;4;Dekoracje plastikowe;
B2B\Kategorie\Dekorowanie\Dekoracje plastikowe\Chrzciny;5;Chrzciny;
B2B\Kategorie\Dekorowanie\Dekoracje plastikowe\Dla dzieci;5;Dla dzieci;
B2B\Kategorie\Dekorowanie\Dekoracje plastikowe\Komunia;5;Komunia;
B2B\Kategorie\Dekorowanie\Dekoracje plastikowe\Okolicznościowe;5;Okolicznościowe;
B2B\Kategorie\Dekorowanie\Dekoracje plastikowe\Ślub;5;Ślub;
B2B\Kategorie\Dekorowanie\Dekoracje żelowe;4;Dekoracje żelowe;
B2B\Kategorie\Dekorowanie\Dodatki (świeczki, fontanny, pisaki itd.);4;Dodatki (świeczki, fontanny, pisaki itd.);
B2B\Kategorie\Dekorowanie\Kwiaty jadalne;4;Kwiaty jadalne;
B2B\Kategorie\Dekorowanie\Masy cukrowe;4;Masy cukrowe;
B2B\Kategorie\Dodatki spożywcze;3;Dodatki spożywcze;
B2B\Kategorie\Dodatki spożywcze\Cukier;4;Cukier;
B2B\Kategorie\Dodatki spożywcze\Drożdże;4;Drożdże;
B2B\Kategorie\Dodatki spożywcze\Mąka;4;Mąka;
B2B\Kategorie\Dodatki spożywcze\Płatki;4;Płatki;
B2B\Kategorie\Dodatki spożywcze\Płatki ziemniaczane;4;Płatki ziemniaczane;
B2B\Kategorie\Dodatki spożywcze\Pozostałe;4;Pozostałe;
B2B\Kategorie\Dodatki spożywcze\Sól;4;Sól;
B2B\Kategorie\Gastronomiczne produkty;3;Gastronomiczne produkty;
B2B\Kategorie\Gastronomiczne produkty\Farsze;4;Farsze;
B2B\Kategorie\Gastronomiczne produkty\Kasze;4;Kasze;
B2B\Kategorie\Gastronomiczne produkty\Makarony;4;Makarony;
B2B\Kategorie\Gastronomiczne produkty\Panierki;4;Panierki;
B2B\Kategorie\Gastronomiczne produkty\Produkty ziemniaczane;4;Produkty ziemniaczane;
B2B\Kategorie\Gastronomiczne produkty\Ryże;4;Ryże;
B2B\Kategorie\Gastronomiczne produkty\Sosy i dodatki gastronomiczne;4;Sosy i dodatki gastronomiczne;
B2B\Kategorie\Gastronomiczne produkty\Sosy i dodatki gastronomiczne\Ketchupy;5;Ketchupy;
B2B\Kategorie\Gastronomiczne produkty\Sosy i dodatki gastronomiczne\Majonezy;5;Majonezy;
B2B\Kategorie\Gastronomiczne produkty\Sosy i dodatki gastronomiczne\Musztardy;5;Musztardy;
B2B\Kategorie\Gastronomiczne produkty\Sosy i dodatki gastronomiczne\Sosy;5;Sosy;
B2B\Kategorie\Kawa, herbata;3;Kawa, herbata;
B2B\Kategorie\Kawa, herbata\Herbata;4;Herbata;
B2B\Kategorie\Kawa, herbata\Kawa;4;Kawa;
B2B\Kategorie\Lodziarskie produkty;3;Lodziarskie produkty;
B2B\Kategorie\Lodziarskie produkty\Bazy;4;Bazy;
B2B\Kategorie\Lodziarskie produkty\Bazy\Do granity;5;Do granity;
B2B\Kategorie\Lodziarskie produkty\Bazy\Do lodów czekoladowych;5;Do lodów czekoladowych;
B2B\Kategorie\Lodziarskie produkty\Bazy\Do lodów mlecznych;5;Do lodów mlecznych;
B2B\Kategorie\Lodziarskie produkty\Bazy\Do sorbetów;5;Do sorbetów;
B2B\Kategorie\Lodziarskie produkty\Lody w płynie;4;Lody w płynie;
B2B\Kategorie\Lodziarskie produkty\Lody w proszku;4;Lody w proszku;
B2B\Kategorie\Lodziarskie produkty\Pasty;4;Pasty;
B2B\Kategorie\Lodziarskie produkty\Pasty\Klasyczne;5;Klasyczne;
B2B\Kategorie\Lodziarskie produkty\Pasty\Owocowe;5;Owocowe;
B2B\Kategorie\Lodziarskie produkty\Polewy do marmurkowania;4;Polewy do marmurkowania;
B2B\Kategorie\Lodziarskie produkty\Polewy do marmurkowania\Klasyczne;5;Klasyczne;
B2B\Kategorie\Lodziarskie produkty\Polewy do marmurkowania\Nutty;5;Nutty;
B2B\Kategorie\Lodziarskie produkty\Polewy do marmurkowania\Owocowe;5;Owocowe;
B2B\Kategorie\Lodziarskie produkty\Polewy zastygające;4;Polewy zastygające;
B2B\Kategorie\Lodziarskie produkty\Stabilizatory do lodów;4;Stabilizatory do lodów;
B2B\Kategorie\Lodziarskie produkty\Wafle;4;Wafle;
B2B\Kategorie\Maszyny, urządzenia;3;Maszyny, urządzenia;
B2B\Kategorie\Maszyny, urządzenia\Części zamienne;4;Części zamienne;
B2B\Kategorie\Maszyny, urządzenia\Do czekolady;4;Do czekolady;
B2B\Kategorie\Maszyny, urządzenia\Do czekolady\Dyspensery;5;Dyspensery;
B2B\Kategorie\Maszyny, urządzenia\Do czekolady\Fontanny;5;Fontanny;
B2B\Kategorie\Maszyny, urządzenia\Do czekolady\Urządzenia do roztapiania;5;Urządzenia do roztapiania;
B2B\Kategorie\Maszyny, urządzenia\Do czekolady\Urządzenia do temperowania;5;Urządzenia do temperowania;
B2B\Kategorie\Maszyny, urządzenia\Do kawy i napojów;4;Do kawy i napojów;
B2B\Kategorie\Maszyny, urządzenia\Do kawy i napojów\Blendery;5;Blendery;
B2B\Kategorie\Maszyny, urządzenia\Do kawy i napojów\Ekspresy;5;Ekspresy;
B2B\Kategorie\Maszyny, urządzenia\Do kawy i napojów\Granitory;5;Granitory;
B2B\Kategorie\Maszyny, urządzenia\Do kawy i napojów\Lodówki;5;Lodówki;
B2B\Kategorie\Maszyny, urządzenia\Do kawy i napojów\Młynki;5;Młynki;
B2B\Kategorie\Maszyny, urządzenia\Do kawy i napojów\Spieniacze;5;Spieniacze;
B2B\Kategorie\Maszyny, urządzenia\Do obróbki cieplnej;4;Do obróbki cieplnej;
B2B\Kategorie\Maszyny, urządzenia\Do obróbki cieplnej\Grille;5;Grille;
B2B\Kategorie\Maszyny, urządzenia\Do obróbki cieplnej\Piece;5;Piece;
B2B\Kategorie\Maszyny, urządzenia\Do obróbki cieplnej\Smażalniki;5;Smażalniki;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji lodów;4;Do produkcji lodów;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji lodów\Frezery;5;Frezery;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji lodów\Maszyny do lodów włoskich;5;Maszyny do lodów włoskich;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji lodów\Pasteryzatory;5;Pasteryzatory;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji piek/cuk;4;Do produkcji piek/cuk;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji piek/cuk\Dzielarko - zaokrąglarki;5;Dzielarko - zaokrąglarki;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji piek/cuk\Mikronizery;5;Mikronizery;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji piek/cuk\Multidrop;5;Multidrop;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji piek/cuk\Roboty cukiernicze;5;Roboty cukiernicze;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji piek/cuk\Ubijaczki i miksery;5;Ubijaczki i miksery;
B2B\Kategorie\Maszyny, urządzenia\Do produkcji piek/cuk\Żelownice;5;Żelownice;
B2B\Kategorie\Maszyny, urządzenia\Do przechowywania i ekspozycji;4;Do przechowywania i ekspozycji;
B2B\Kategorie\Maszyny, urządzenia\Do przechowywania i ekspozycji\Szafy chłodnicze i mroźnicze;5;Szafy chłodnicze i mroźnicze;
B2B\Kategorie\Maszyny, urządzenia\Do przechowywania i ekspozycji\Witryny;5;Witryny;
B2B\Kategorie\Maszyny, urządzenia\Do zmywania i mycia;4;Do zmywania i mycia;
B2B\Kategorie\Maszyny, urządzenia\Do zmywania i mycia\Zmywarki;5;Zmywarki;
B2B\Kategorie\Maszyny, urządzenia\Pozostałe maszyny;4;Pozostałe maszyny;
B2B\Kategorie\Mięso, wędliny, ryby;3;Mięso, wędliny, ryby;
B2B\Kategorie\Mięso, wędliny, ryby\Mięso;4;Mięso;
B2B\Kategorie\Mięso, wędliny, ryby\Ryby i owoce morza;4;Ryby i owoce morza;
B2B\Kategorie\Mięso, wędliny, ryby\Wędliny;4;Wędliny;
B2B\Kategorie\Nabiał;3;Nabiał;
B2B\Kategorie\Nabiał\Jogurty, kefiry, maślanki;4;Jogurty, kefiry, maślanki;
B2B\Kategorie\Nabiał\Masło;4;Masło;
B2B\Kategorie\Nabiał\Mleko;4;Mleko;
B2B\Kategorie\Nabiał\Nadzienia serowe;4;Nadzienia serowe;
B2B\Kategorie\Nabiał\Produkty jajeczne;4;Produkty jajeczne;
B2B\Kategorie\Nabiał\Produkty jajeczne\Płynne;5;Płynne;
B2B\Kategorie\Nabiał\Produkty jajeczne\Pozostałe;5;Pozostałe;
B2B\Kategorie\Nabiał\Produkty jajeczne\Proszkowane;5;Proszkowane;
B2B\Kategorie\Nabiał\Proszki mleczne;4;Proszki mleczne;
B2B\Kategorie\Nabiał\Sery białe miękkie;4;Sery białe miękkie;
B2B\Kategorie\Nabiał\Sery twarogowe;4;Sery twarogowe;
B2B\Kategorie\Nabiał\Sery twarogowe\Chude;5;Chude;
B2B\Kategorie\Nabiał\Sery twarogowe\Półtłuste;5;Półtłuste;
B2B\Kategorie\Nabiał\Sery twarogowe\Tłuste;5;Tłuste;
B2B\Kategorie\Nabiał\Sery żółte;4;Sery żółte;
B2B\Kategorie\Nabiał\Śmietany;4;Śmietany;
B2B\Kategorie\Nabiał\Śmietany\Roślinne i mieszane;5;Roślinne i mieszane;
B2B\Kategorie\Nabiał\Śmietany\Zwierzęce;5;Zwierzęce;
B2B\Kategorie\Non food;3;Non food;
B2B\Kategorie\Non food\Chemia;4;Chemia;
B2B\Kategorie\Non food\Chemia\do dezynfekcji;5;do dezynfekcji;
B2B\Kategorie\Non food\Chemia\do naczyń;5;do naczyń;
B2B\Kategorie\Non food\Chemia\do powierzchni;5;do powierzchni;
B2B\Kategorie\Non food\Chemia\do rąk;5;do rąk;
B2B\Kategorie\Non food\Chemia\do sanitariatów;5;do sanitariatów;
B2B\Kategorie\Non food\Chemia\pozostała;5;pozostała;
B2B\Kategorie\Non food\Foremki jednorazowe;4;Foremki jednorazowe;
B2B\Kategorie\Non food\Foremki jednorazowe\Aluminiowe;5;Aluminiowe;
B2B\Kategorie\Non food\Foremki jednorazowe\Drewniane;5;Drewniane;
B2B\Kategorie\Non food\Foremki jednorazowe\Papierowe;5;Papierowe;
B2B\Kategorie\Non food\Odzież;4;Odzież;
B2B\Kategorie\Non food\Odzież\Bluzy;5;Bluzy;
B2B\Kategorie\Non food\Odzież\Komplety;5;Komplety;
B2B\Kategorie\Non food\Odzież\Nakrycia głowy;5;Nakrycia głowy;
B2B\Kategorie\Non food\Odzież\Pozostałe;5;Pozostałe;
B2B\Kategorie\Non food\Odzież\Rękawice;5;Rękawice;
B2B\Kategorie\Non food\Odzież\Spodnie;5;Spodnie;
B2B\Kategorie\Non food\Opakowania i sztućce jednorazowe;4;Opakowania i sztućce jednorazowe;
B2B\Kategorie\Non food\Opakowania i sztućce jednorazowe\Foliowe;5;Foliowe;
B2B\Kategorie\Non food\Opakowania i sztućce jednorazowe\Papierowe;5;Papierowe;
B2B\Kategorie\Non food\Opakowania i sztućce jednorazowe\Plastikowe;5;Plastikowe;
B2B\Kategorie\Non food\Opakowania i sztućce jednorazowe\Pozostałe;5;Pozostałe;
B2B\Kategorie\Non food\Opakowania i sztućce jednorazowe\Tekturowe;5;Tekturowe;
B2B\Kategorie\Non food\Opakowania i sztućce jednorazowe\Termoizolacyjne;5;Termoizolacyjne;
B2B\Kategorie\Non food\Papier;4;Papier;
B2B\Kategorie\Non food\Papier\Etykiety i banderole;5;Etykiety i banderole;
B2B\Kategorie\Non food\Papier\Papier do pakowania;5;Papier do pakowania;
B2B\Kategorie\Non food\Papier\Papier do pieczenia i gotowania;5;Papier do pieczenia i gotowania;
B2B\Kategorie\Non food\Papier\Podkładki;5;Podkładki;
B2B\Kategorie\Non food\Papier\Ręczniki;5;Ręczniki;
B2B\Kategorie\Non food\Papier\Serwetki;5;Serwetki;
B2B\Kategorie\Non food\Sprzęt drobny;4;Sprzęt drobny;
B2B\Kategorie\Non food\Sprzęt drobny\Blachy;5;Blachy;
B2B\Kategorie\Non food\Sprzęt drobny\Foremki i kosze do garowania;5;Foremki i kosze do garowania;
B2B\Kategorie\Non food\Sprzęt drobny\Formy, ranty i wykrojniki;5;Formy, ranty i wykrojniki;
B2B\Kategorie\Non food\Sprzęt drobny\Garnki i miski;5;Garnki i miski;
B2B\Kategorie\Non food\Sprzęt drobny\Koszyki;5;Koszyki;
B2B\Kategorie\Non food\Sprzęt drobny\Kuwety i gałkownice;5;Kuwety i gałkownice;
B2B\Kategorie\Non food\Sprzęt drobny\Łopaty i drążki;5;Łopaty i drążki;
B2B\Kategorie\Non food\Sprzęt drobny\Noże, łopatki i radełka;5;Noże, łopatki i radełka;
B2B\Kategorie\Non food\Sprzęt drobny\Pozostały drobny sprzęt;5;Pozostały drobny sprzęt;
B2B\Kategorie\Non food\Sprzęt drobny\Sita;5;Sita;
B2B\Kategorie\Non food\Sprzęt drobny\Stojaki;5;Stojaki;
B2B\Kategorie\Non food\Sprzęt drobny\Szufelki i szczotki;5;Szufelki i szczotki;
B2B\Kategorie\Non food\Sprzęt drobny\Tylki i worki cukiernicze;5;Tylki i worki cukiernicze;
B2B\Kategorie\Non food\Sprzęt drobny\Wałki;5;Wałki;
B2B\Kategorie\Non food\Tace, podkładki i monoporcje;4;Tace, podkładki i monoporcje;
B2B\Kategorie\Non food\Tace, podkładki i monoporcje\Aluminiowe;5;Aluminiowe;
B2B\Kategorie\Non food\Tace, podkładki i monoporcje\Papierowe;5;Papierowe;
B2B\Kategorie\Non food\Tace, podkładki i monoporcje\Plastikowe;5;Plastikowe;
B2B\Kategorie\Non food\Transport i ekspozycja;4;Transport i ekspozycja;
B2B\Kategorie\Non food\Transport i ekspozycja\Kuwety;5;Kuwety;
B2B\Kategorie\Non food\Transport i ekspozycja\Pojemniki termoizolacyjne;5;Pojemniki termoizolacyjne;
B2B\Kategorie\Non food\Transport i ekspozycja\Skrzynki;5;Skrzynki;
B2B\Kategorie\Non food\Transport i ekspozycja\Stojaki;5;Stojaki;
B2B\Kategorie\Non food\Transport i ekspozycja\Wózki;5;Wózki;
B2B\Kategorie\Non food\Wyposażenie;4;Wyposażenie;
B2B\Kategorie\Opakowania;3;Opakowania;
B2B\Kategorie\Owoce, warzywa, grzyby;3;Owoce, warzywa, grzyby;
B2B\Kategorie\Owoce, warzywa, grzyby\Grzyby;4;Grzyby;
B2B\Kategorie\Owoce, warzywa, grzyby\Grzyby\Apertyzowane;5;Apertyzowane;
B2B\Kategorie\Owoce, warzywa, grzyby\Grzyby\Mrożone;5;Mrożone;
B2B\Kategorie\Owoce, warzywa, grzyby\Grzyby\Suszone;5;Suszone;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce;4;Owoce;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Apertyzowane;5;Apertyzowane;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Dżemy;5;Dżemy;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Kandyzowane;5;Kandyzowane;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Marmolady;5;Marmolady;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Mrożone;5;Mrożone;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Nadzienia owocowe;5;Nadzienia owocowe;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Owoce prażone;5;Owoce prażone;
B2B\Kategorie\Owoce, warzywa, grzyby\Owoce\Owoce w żelu;5;Owoce w żelu;
B2B\Kategorie\Owoce, warzywa, grzyby\Warzywa;4;Warzywa;
B2B\Kategorie\Owoce, warzywa, grzyby\Warzywa\Apertyzowane;5;Apertyzowane;
B2B\Kategorie\Owoce, warzywa, grzyby\Warzywa\Mrożone;5;Mrożone;
B2B\Kategorie\Owoce, warzywa, grzyby\Warzywa\Prażone;5;Prażone;
B2B\Kategorie\Pieczywo, ciasta;3;Pieczywo, ciasta;
B2B\Kategorie\Pieczywo, ciasta\Fast-food;4;Fast-food;
B2B\Kategorie\Pieczywo, ciasta\Mrożone ciasta i torty;4;Mrożone ciasta i torty;
B2B\Kategorie\Pieczywo, ciasta\Mrożone ciasta i torty\Okrągłe;5;Okrągłe;
B2B\Kategorie\Pieczywo, ciasta\Mrożone ciasta i torty\Prostokątne;5;Prostokątne;
B2B\Kategorie\Pieczywo, ciasta\Mrożone ciastka;4;Mrożone ciastka;
B2B\Kategorie\Pieczywo, ciasta\Mrożone ciastka\Inne słodkie;5;Inne słodkie;
B2B\Kategorie\Pieczywo, ciasta\Mrożone ciastka\Pączki, donuty i muffiny;5;Pączki, donuty i muffiny;
B2B\Kategorie\Pieczywo, ciasta\Mrożone ciastka\Rogaliki;5;Rogaliki;
B2B\Kategorie\Pieczywo, ciasta\Mrożone pieczywo;4;Mrożone pieczywo;
B2B\Kategorie\Pieczywo, ciasta\Mrożone pieczywo\Bagietki i paluchy;5;Bagietki i paluchy;
B2B\Kategorie\Pieczywo, ciasta\Mrożone pieczywo\Bułki i ciabaty;5;Bułki i ciabaty;
B2B\Kategorie\Pieczywo, ciasta\Mrożone pieczywo\Chleby;5;Chleby;
B2B\Kategorie\Pieczywo, ciasta\Wyroby gotowe;4;Wyroby gotowe;
B2B\Kategorie\Piekarskie produkty;3;Piekarskie produkty;
B2B\Kategorie\Piekarskie produkty\Koncentraty i mieszanki;4;Koncentraty i mieszanki;
B2B\Kategorie\Piekarskie produkty\Kwasy, zakwasy, zaciemniacze i słody;4;Kwasy, zakwasy, zaciemniacze i słody;
B2B\Kategorie\Piekarskie produkty\Polepszacze;4;Polepszacze;
B2B\Kategorie\Polewy, syropy, napoje;3;Polewy, syropy, napoje;
B2B\Kategorie\Polewy, syropy, napoje\Koncentraty;4;Koncentraty;
B2B\Kategorie\Polewy, syropy, napoje\Soki;4;Soki;
B2B\Kategorie\Polewy, syropy, napoje\Syropy;4;Syropy;
B2B\Kategorie\Polewy, syropy, napoje\Toppingi i sosy deserowe;4;Toppingi i sosy deserowe;
B2B\Kategorie\Przyprawy, marynaty;3;Przyprawy, marynaty;
B2B\Kategorie\Przyprawy, marynaty\Marynaty;4;Marynaty;
B2B\Kategorie\Przyprawy, marynaty\Przyprawy;4;Przyprawy;
B2B\Kategorie\Tłuszcze;3;Tłuszcze;
B2B\Kategorie\Tłuszcze\Frytury;4;Frytury;
B2B\Kategorie\Tłuszcze\Frytury\Płynne;5;Płynne;
B2B\Kategorie\Tłuszcze\Frytury\Półpłynne;5;Półpłynne;
B2B\Kategorie\Tłuszcze\Frytury\Stałe;5;Stałe;
B2B\Kategorie\Tłuszcze\Margaryny;4;Margaryny;
B2B\Kategorie\Tłuszcze\Oleje i oliwy;4;Oleje i oliwy;
B2B\Kategorie\Tłuszcze\Pozostałe tłuszcze;4;Pozostałe tłuszcze;
B2B\Kategorie\Ziarna, bakalie;3;Ziarna, bakalie;
B2B\Kategorie\Ziarna, bakalie\Bakalie;4;Bakalie;
B2B\Kategorie\Ziarna, bakalie\Mieszanki ziaren;4;Mieszanki ziaren;
B2B\Kategorie\Ziarna, bakalie\Ziarna;4;Ziarna;
B2B\Marki;2;Marki;
B2B\Marki\A&W;3;A&W;
B2B\Marki\Abramczyk;3;Abramczyk;
B2B\Marki\Adria;3;Adria;
B2B\Marki\Aexperial;3;Aexperial;
B2B\Marki\Agram;3;Agram;
B2B\Marki\Agrano;3;Agrano;
B2B\Marki\Agrarfrost;3;Agrarfrost;
B2B\Marki\Agrol;3;Agrol;
B2B\Marki\AIT;3;AIT;
B2B\Marki\Ako;3;Ako;
B2B\Marki\Albano;3;Albano;
B2B\Marki\Alexpol;3;Alexpol;
B2B\Marki\Alfa plastik;3;Alfa plastik;
B2B\Marki\AlfaPro;3;AlfaPro;
B2B\Marki\alibig;3;alibig;
B2B\Marki\Amarg;3;Amarg;
B2B\Marki\Ambra;3;Ambra;
B2B\Marki\Ambrosio;3;Ambrosio;
B2B\Marki\Angel;3;Angel;
B2B\Marki\Animex;3;Animex;
B2B\Marki\Apimar;3;Apimar;
B2B\Marki\Arctos;3;Arctos;
B2B\Marki\Arla;3;Arla;
B2B\Marki\Aromapol;3;Aromapol;
B2B\Marki\Aryzta;3;Aryzta;
B2B\Marki\Atollspeed;3;Atollspeed;
B2B\Marki\Aves;3;Aves;
B2B\Marki\Aviko;3;Aviko;
B2B\Marki\Awa;3;Awa;
